ID,Lat,Lon,RAI_avg,MRAI_avg,SRAI_avg
309000,42.7803,-84.5789,-27.824815500777618,-28.838926236788748,-44.167026669050905
309072,46.4864,-88.8917,-72.71658622791155,-63.38323589128634,-151.69973005153247
309400,43.1994,-85.7717,-46.379989439025216,-60.49718872175224,-106.76179430665378
309442,42.2833,-85.6,-31.26116169832302,-41.336057798359555,-112.88565308214471
309576,42.3,-85.6167,-46.1676762158523,-44.55173905571822,-109.14256388247917
309670,42.2597,-84.4594,-53.03789972157189,-67.2725804507961,-121.42555674470445
310300,45.7858,-88.0842,-7.742412561959484,-7.761121688610091,-30.963494985752988
310438,42.5936,-83.9322,-6.725552884511105,-6.334029740419911,-50.309413826327585
310909,44.3592,-84.6739,2.0760654263678013,5.2345466786556205,-3.0103718119133847
310967,47.2333,-88.6167,-37.64657868433552,-47.45245582946447,-94.04991880775117
311159,46.2864,-87.4511,-31.661758093899795,-26.818268922121923,-102.5761460654067
311241,42.8825,-85.5239,-13.804849882429671,-24.99775965405827,-44.36040059411445
311458,43.0608,-86.2047,-45.46629820545023,-34.08273065802509,-156.7561222797226
311564,43.9758,-84.4908,-35.635120409901,-24.744351092551124,-81.14263587088213
311690,42.9667,-83.7494,-29.994935817633444,-36.093256947447685,-97.81144986237713
312230,44.55,-85.4167,-30.110784297498956,-36.98957611149748,-95.77173484909663
312388,42.6742,-84.485,-27.03988759096763,-25.179530153951905,-86.92306275788162
312631,42.2314,-83.3308,-48.752808199673666,-18.68821930024663,-132.3520621663792
312719,42.4072,-83.0083,-54.70093073294794,-49.3576517529784,-113.0348870050623
312732,45.9983,-83.9014,-38.33488103087472,-65.6424800618492,-112.83458519407354
313017,47.4675,-87.8669,-24.058783210416326,-35.10502151335389,-91.68224333548174
313630,42.2333,-86.3167,-7.959153459852253,-19.560522281081383,-45.86615557013401
313925,41.94,-85.0183,-3.6943347907408546,-9.192372559036292,-10.994740072096834
313957,41.9622,-84.9925,-1.7283482230247713,-12.184105425265358,-59.41952208876577
314136,45.6528,-84.4725,-19.38614140971629,-19.21476967810551,-83.37920253193384
314649,46.3414,-86.9242,-71.79210816441444,-65.12388743623461,-133.57841609222865
314764,43.2,-83.05,-43.03591313420591,-57.897523563609035,-114.81998307578817
314860,46.5436,-89.1839,-49.86686190635266,-48.61540155159197,-88.81732849397093
314970,46.8864,-87.8639,-20.35133921528524,-25.606541047901526,-46.33028847589132
315402,41.9647,-86.4369,-9.367848210908901,0.5023419267969269,-53.98573499323519
315814,44.9758,-85.1981,-11.55998420990425,-25.74418585881183,-49.60964837481838
315830,43.8797,-84.4742,-6.81804523241421,-14.019635698134419,-60.35744332199931
315945,46.7833,-88.4833,-26.339412085142193,-30.576582715053014,-94.1918743772068
316231,42.2947,-83.7108,-14.389929411271716,-36.24670485498328,-66.38922098593247
316261,45.0717,-83.5644,-65.49411942101585,-72.72160331650575,-113.84208096796617
316891,42.5797,-85.7894,-21.86144569325815,-36.1232389151303,-66.65140134864728
317069,44.5667,-83.8,-17.223543266227047,-20.646416393624943,-59.46433965827945
317079,42.2706,-71.8731,-28.76578547616628,-36.14336798352561,-58.4845348926632
317319,42.5242,-71.1264,-45.757784069679936,-73.8562275242635,-97.09929571109022
317850,42.05,-70.1833,-29.539531332050363,-26.740761400676856,-81.7228529273472
318216,42.5333,-72.1833,-40.61342832663785,-51.009092936870104,-99.55393058486528
